file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
georges-seurat/georges-seurat__woman-fishing-and-seated-figures-1884.jpg,georges-seurat,Georges Seurat,Woman Fishing and Seated Figures,1884,https://www.wikiart.org/en/georges-seurat/woman-fishing-and-seated-figures-1884,woman-fishing-and-seated-figures-1884,https://uploads5.wikiart.org/images/georges-seurat/woman-fishing-and-seated-figures-1884.jpg!Large.jpg,750,461,Pointillism|Neo-Impressionism,oil|wood,genre painting,games-and-sport|couples|gardens-and-parks|Tree,France,Private Collection,,
georges-seurat/georges-seurat__woman-with-a-monkey-1884.jpg,georges-seurat,Georges Seurat,Woman with a Monkey,1884,https://www.wikiart.org/en/georges-seurat/woman-with-a-monkey-1884,woman-with-a-monkey-1884,https://uploads1.wikiart.org/images/georges-seurat/woman-with-a-monkey-1884.jpg!Large.jpg,371,600,Post-Impressionism|Neo-Impressionism,oil|wood,genre painting,animals|gardens-and-parks|Tree|Meadow,France,"Smith College Museum of Art (SCMA), Northampton, MA, US",,
georges-seurat/georges-seurat__woman-with-umbrella-1884.jpg,georges-seurat,Georges Seurat,Woman with Umbrella,1884,https://www.wikiart.org/en/georges-seurat/woman-with-umbrella-1884,woman-with-umbrella-1884,https://uploads1.wikiart.org/images/georges-seurat/woman-with-umbrella-1884.jpg!Large.jpg,360,600,Post-Impressionism|Neo-Impressionism,oil|canvas,genre painting,gardens-and-parks,France,"E.G. Bührle Foundation, Zürich, Switzerland",,
georges-seurat/georges-seurat__bathers-at-asni-res-1884.jpg,georges-seurat,Georges Seurat,Bathers at Asnières,1884,https://www.wikiart.org/en/georges-seurat/bathers-at-asni-res-1884,bathers-at-asni-res-1884,https://uploads1.wikiart.org/images/georges-seurat/bathers-at-asni-res-1884.jpg!Large.jpg,750,498,Pointillism|Neo-Impressionism,oil|canvas,genre painting,,,"National Gallery, London, UK",,
georges-seurat/georges-seurat__a-canoes-1885.jpg,georges-seurat,Georges Seurat,A canoes,1885,https://www.wikiart.org/en/georges-seurat/a-canoes-1885,a-canoes-1885,https://uploads8.wikiart.org/images/georges-seurat/a-canoes-1885.jpg!Large.jpg,750,461,Impressionism,oil|wood,landscape,games-and-sport|boats-and-ships|Tree|Natural landscape|Woody plant|Canoe birch|Plant|Bank,France,Private Collection,,
georges-seurat/georges-seurat__grandcamp-evening-1885.jpg,georges-seurat,Georges Seurat,"Grandcamp, Evening",1885,https://www.wikiart.org/en/georges-seurat/grandcamp-evening-1885,grandcamp-evening-1885,https://uploads7.wikiart.org/images/georges-seurat/grandcamp-evening-1885.jpg,501,400,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|Normandy|Grandcamp|cliffs-and-rocks,France,"Museum of Modern Art (MoMA), New York City, NY, US",,
georges-seurat/georges-seurat__landscape-at-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Landscape at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/landscape-at-grandcamp-1885,landscape-at-grandcamp-1885,https://uploads4.wikiart.org/images/georges-seurat/landscape-at-grandcamp-1885.jpg!Large.jpg,750,460,Impressionism|Neo-Impressionism,oil|wood,landscape,France|fields-and-plains|Normandy|forests-and-trees|Grandcamp|Brown|Pattern|Wood stain,France,"Palais des Beaux-Arts de Lille, Lille, France",,
georges-seurat/georges-seurat__landscape-with-figure-study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Landscape with Figure. Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/landscape-with-figure-study-for-la-grande-jatte-1885,landscape-with-figure-study-for-la-grande-jatte-1885,https://uploads2.wikiart.org/images/georges-seurat/landscape-with-figure-study-for-la-grande-jatte-1885.jpg!Large.jpg,750,476,Impressionism,oil|wood,landscape,rivers-and-waterfalls|gardens-and-parks|France|Grande-Jatte|Tree|Bayou|Natural landscape|Natural environment|Leaf|Northern hardwood forest|Bank|Water|Woody plant,France,"National Gallery, London, UK",,
georges-seurat/georges-seurat__low-tide-at-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Low Tide at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/low-tide-at-grandcamp-1885,low-tide-at-grandcamp-1885,https://uploads3.wikiart.org/images/georges-seurat/low-tide-at-grandcamp-1885.jpg!Large.jpg,750,587,Pointillism|Neo-Impressionism,oil|canvas,marina,boats-and-ships|seas-and-oceans|France|Normandy|Grandcamp|Boat|Vehicle,France,Private Collection,,
georges-seurat/georges-seurat__race-in-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Race in Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/race-in-grandcamp-1885,race-in-grandcamp-1885,https://uploads8.wikiart.org/images/georges-seurat/race-in-grandcamp-1885.jpg!Large.jpg,750,599,Pointillism|Neo-Impressionism,oil|canvas,landscape,boats-and-ships|France|Normandy|Grandcamp|Tree|Sky,France,Private Collection,,
georges-seurat/georges-seurat__ruins-at-grandcamp.jpg,georges-seurat,Georges Seurat,Ruins at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/ruins-at-grandcamp,ruins-at-grandcamp,https://uploads3.wikiart.org/images/georges-seurat/ruins-at-grandcamp.jpg,640,509,Impressionism|Neo-Impressionism,oil,landscape,ruins-and-columns|France|Normandy|Grandcamp|Picture frame|Rectangle,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__study-for-un-dimanche-dete-a-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,"Study for ""Un dimanche d'été à la Grande Jatte""",1885,https://www.wikiart.org/en/georges-seurat/study-for-un-dimanche-dete-a-la-grande-jatte-1885,study-for-un-dimanche-dete-a-la-grande-jatte-1885,https://uploads8.wikiart.org/images/georges-seurat/study-for-un-dimanche-d-été-à-la-grande-jatte-1885.jpg,392,512,Post-Impressionism,crayon|paper,sketch and study,clothing-and-textile,France,"Musée Picasso, Paris, France",,
georges-seurat/georges-seurat__study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/study-for-la-grande-jatte-1885,study-for-la-grande-jatte-1885,https://uploads7.wikiart.org/images/georges-seurat/study-for-la-grande-jatte-1885.jpg!Large.jpg,750,450,Post-Impressionism|Neo-Impressionism,oil|canvas,landscape,animals|dogs|couples|rivers-and-waterfalls|France|Island-of-La-Grande-Jatte|leisure-and-sleep|Tree|Grass|Rural area|Pasture,France,"Art Institute of Chicago, Chicago, IL, US",,
georges-seurat/georges-seurat__study-with-figures-study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Study with Figures. Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/study-with-figures-study-for-la-grande-jatte-1885,study-with-figures-study-for-la-grande-jatte-1885,https://uploads8.wikiart.org/images/georges-seurat/study-with-figures-study-for-la-grande-jatte-1885.jpg!Large.jpg,750,428,Post-Impressionism|Neo-Impressionism,oil|canvas,genre painting,rivers-and-waterfalls|gardens-and-parks|France|Grande-Jatte|Tree|Woody plant,France,"Art Institute of Chicago, Chicago, IL, US",,
georges-seurat/georges-seurat__the-away-samson-in-grandcamp-1885.jpg,georges-seurat,Georges Seurat,The away Samson in Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/the-away-samson-in-grandcamp-1885,the-away-samson-in-grandcamp-1885,https://uploads1.wikiart.org/images/georges-seurat/the-away-samson-in-grandcamp-1885.jpg!Large.jpg,750,461,Pointillism|Neo-Impressionism,oil|wood,landscape,countryside|cottages-and-farmhouses|fields-and-plains|Normandy,France,Private Collection,,
georges-seurat/georges-seurat__the-bec-du-hoc-grandcamp-1885.jpg,georges-seurat,Georges Seurat,"The Bec du Hoc, Grandcamp",1885,https://www.wikiart.org/en/georges-seurat/the-bec-du-hoc-grandcamp-1885,the-bec-du-hoc-grandcamp-1885,https://uploads6.wikiart.org/images/georges-seurat/the-bec-du-hoc-grandcamp-1885.jpg!Large.jpg,711,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|Normandy|Grandcamp,France,"Tate Modern, London, UK",,
georges-seurat/georges-seurat__the-english-channel-at-grandcamp-1885.jpg,georges-seurat,Georges Seurat,The English Channel at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/the-english-channel-at-grandcamp-1885,the-english-channel-at-grandcamp-1885,https://uploads5.wikiart.org/images/georges-seurat/the-english-channel-at-grandcamp-1885.jpg!Large.jpg,750,588,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|Normandy|Grandcamp|cliffs-and-rocks|Water,France,"Museum of Modern Art (MoMA), New York City, NY, US",,
georges-seurat/georges-seurat__the-seine-at-courbevoie-1885.jpg,georges-seurat,Georges Seurat,The Seine at Courbevoie,1885,https://www.wikiart.org/en/georges-seurat/the-seine-at-courbevoie-1885,the-seine-at-courbevoie-1885,https://uploads5.wikiart.org/images/georges-seurat/the-seine-at-courbevoie-1885.jpg!Large.jpg,480,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,houses-and-buildings|rivers-and-waterfalls|France|forests-and-trees|Courbevoie|Tree|Water|Reflection|Trunk|Woody plant|Grass|Leaf,France,Private Collection,,
georges-seurat/georges-seurat__view-of-fort-samson-1885.jpg,georges-seurat,Georges Seurat,View of Fort Samson,1885,https://www.wikiart.org/en/georges-seurat/view-of-fort-samson-1885,view-of-fort-samson-1885,https://uploads0.wikiart.org/images/georges-seurat/view-of-fort-samson-1885.jpg,722,575,Pointillism|Neo-Impressionism,oil|canvas,landscape,houses-and-buildings|boats-and-ships|France|Fort-Samson|Grass|Grass family|Sky,France,"Hermitage Museum, Saint Petersburg, Russia",,
georges-seurat/georges-seurat__white-dog-1885.jpg,georges-seurat,Georges Seurat,White dog,1885,https://www.wikiart.org/en/georges-seurat/white-dog-1885,white-dog-1885,https://uploads5.wikiart.org/00168/images/georges-seurat/rosengart-seurat-white-dog.jpg!Large.jpg,750,449,Pointillism|Neo-Impressionism,oil|wood,,animals|gardens-and-parks|Tree,France,,,
georges-seurat/georges-seurat__alfalfa-st-denis-1886.jpg,georges-seurat,Georges Seurat,"Alfalfa, St. Denis",1886,https://www.wikiart.org/en/georges-seurat/alfalfa-st-denis-1886,alfalfa-st-denis-1886,https://uploads7.wikiart.org/images/georges-seurat/alfalfa-st-denis-1886.jpg!Large.jpg,750,586,Pointillism|Neo-Impressionism,oil|canvas,landscape,cottages-and-farmhouses|France|fields-and-plains|Meadow|Flower|Grass|Plant|Field|Grassland|Wildflower,France,"Scottish National Gallery, Edinburgh, UK",,
georges-seurat/georges-seurat__beach-at-bas-butin-honfleur-1886.jpg,georges-seurat,Georges Seurat,"Beach at Bas Butin, Honfleur",1886,https://www.wikiart.org/en/georges-seurat/beach-at-bas-butin-honfleur-1886,beach-at-bas-butin-honfleur-1886,https://uploads0.wikiart.org/images/georges-seurat/beach-at-bas-butin-honfleur-1886.jpg!Large.jpg,728,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|Normandy|Honfleur|cliffs-and-rocks|Sky|Cloud|Water|Atmosphere,France,"Musée des Beaux-Arts Tournai, Tournai, Belgium",,
georges-seurat/georges-seurat__end-of-the-jetty-honfleur-1886.jpg,georges-seurat,Georges Seurat,"End of the Jetty, Honfleur",1886,https://www.wikiart.org/en/georges-seurat/end-of-the-jetty-honfleur-1886,end-of-the-jetty-honfleur-1886,https://uploads7.wikiart.org/images/georges-seurat/end-of-the-jetty-honfleur-1886.jpg!Large.jpg,740,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,boats-and-ships|France|Normandy|Honfleur|Water|Grass|Sky|Line|Atmosphere,France,"Kröller-Müller Museum, Otterlo, Netherlands",,
georges-seurat/georges-seurat__harbor-in-honfleur-1886.jpg,georges-seurat,Georges Seurat,Harbor in Honfleur,1886,https://www.wikiart.org/en/georges-seurat/harbor-in-honfleur-1886,harbor-in-honfleur-1886,https://uploads0.wikiart.org/images/georges-seurat/harbor-in-honfleur-1886.jpg!Large.jpg,479,600,Pointillism|Neo-Impressionism,oil|canvas,cityscape,boats-and-ships|France|Normandy|Honfleur|Vehicle,France,"Kröller-Müller Museum, Otterlo, Netherlands",,
georges-seurat/georges-seurat__hospice-and-lighthouse-honfleur-1886.jpg,georges-seurat,Georges Seurat,"Hospice and Lighthouse, Honfleur",1886,https://www.wikiart.org/en/georges-seurat/hospice-and-lighthouse-honfleur-1886,hospice-and-lighthouse-honfleur-1886,https://uploads4.wikiart.org/images/georges-seurat/hospice-and-lighthouse-honfleur-1886.jpg!Large.jpg,750,599,Pointillism|Neo-Impressionism,oil|canvas,cityscape,houses-and-buildings|boats-and-ships|France|Normandy|Honfleur|Water|Sky|Sea,France,"Chester Beatty Library, Dublin, Ireland",,
georges-seurat/georges-seurat__model-from-the-back-1886.jpg,georges-seurat,Georges Seurat,Model from the Back,1886,https://www.wikiart.org/en/georges-seurat/model-from-the-back-1886,model-from-the-back-1886,https://uploads1.wikiart.org/images/georges-seurat/model-from-the-back-1886.jpg!Large.jpg,373,600,Pointillism|Neo-Impressionism,oil|wood,nude painting (nu),female-nude,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__model-in-profile-1886.jpg,georges-seurat,Georges Seurat,Model in Profile,1886,https://www.wikiart.org/en/georges-seurat/model-in-profile-1886,model-in-profile-1886,https://uploads7.wikiart.org/images/georges-seurat/model-in-profile-1886.jpg!Large.jpg,367,600,Pointillism|Neo-Impressionism,oil|wood,nude painting (nu),female-nude|furniture-and-decoration,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__mouth-of-the-seine-at-honfleur-evening-1886.jpg,georges-seurat,Georges Seurat,"Mouth of the Seine at Honfleur, evening",1886,https://www.wikiart.org/en/georges-seurat/mouth-of-the-seine-at-honfleur-evening-1886,mouth-of-the-seine-at-honfleur-evening-1886,https://uploads2.wikiart.org/images/georges-seurat/mouth-of-the-seine-at-honfleur-evening-1886.jpg!Large.jpg,731,600,Pointillism|Neo-Impressionism,oil|canvas,landscape,sunrise-and-sunset|France|Normandy|Honfleur|cliffs-and-rocks|Picture frame,France,"Museum of Modern Art (MoMA), New York City, NY, US",,
georges-seurat/georges-seurat__port-of-honfleur-1886.jpg,georges-seurat,Georges Seurat,Port of Honfleur,1886,https://www.wikiart.org/en/georges-seurat/port-of-honfleur-1886,port-of-honfleur-1886,https://uploads7.wikiart.org/images/georges-seurat/port-of-honfleur-1886.jpg!Large.jpg,738,600,Pointillism|Neo-Impressionism,oil|canvas,marina,boats-and-ships|France|Normandy|Honfleur,France,"Barnes Foundation, Philadelphia, PA, US",,
georges-seurat/georges-seurat__sunday-afternoon-on-the-island-of-la-grande-jatte-1886.jpg,georges-seurat,Georges Seurat,Sunday Afternoon on the Island of La Grande Jatte,1886,https://www.wikiart.org/en/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte-1886,sunday-afternoon-on-the-island-of-la-grande-jatte-1886,https://uploads4.wikiart.org/images/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte-1886.jpg!Large.jpg,750,507,Pointillism|Neo-Impressionism,oil|canvas,genre painting,animals|dogs|couples|rivers-and-waterfalls|France|Island-of-La-Grande-Jatte|leisure-and-sleep,France,"Art Institute of Chicago, Chicago, IL, US",,"This most famous and influential [url href=https://www.wikiart.org/en/paintings-by-style/neo-impressionism]Neo-Impressionist[/url] work depicts a cross-section of Paris society enjoying a Sunday afternoon in the park on an island in the Seine River just at the gates of Paris. Sunday was the time that middle-class Parisians escaped the city to enjoy the outdoors. The people primarily gather in small groups of two or three or sit alone in proximity to others. It is the relationship between these people that creates a sense of modernity, with its distance and disconnection, and nervous tension that lends the work an air of mystery.

Using a grid system and applying small dots of paint, Seurat took two years to complete this large-scale painting. He went to the park often, observing and making over 60 preliminary studies, including 15 in oil. Invoking Greek classical art, Seurat explained, ""The Panathenaeans of Phidias formed a procession. I want to make modern people, in their essential traits, move about as they do on those friezes, and place them on canvases organized by harmonies of color."" Seurat hoped to capture the permanence, or essential forms, behind the fleeting moments. Everyone here is caught in a still pose, except for the child in the orange dress skipping off into the trees, the man on the far left playing trombone, and the furious little dog at the lower right. However, it seems a stillness that might burst into movement at any moment, just as the upper half of the painting moves into the sunlight and the boats in the distance cut across the river. While Seurat invoked classical and Egyptian figures, some have interpreted the overall static effect of the composition and the stiffness of the poses as a critique of the artificiality of modern society and the boredom of middle-class life."
georges-seurat/georges-seurat__the-maria-honfleur-1886.jpg,georges-seurat,Georges Seurat,"The Maria, Honfleur",1886,https://www.wikiart.org/en/georges-seurat/the-maria-honfleur-1886,the-maria-honfleur-1886,https://uploads0.wikiart.org/images/georges-seurat/the-maria-honfleur-1886.jpg!Large.jpg,689,600,Pointillism|Neo-Impressionism,oil|canvas,cityscape,boats-and-ships|France|Normandy|Honfleur,France,,,
georges-seurat/georges-seurat__the-pont-de-courbevoie-1886.jpg,georges-seurat,Georges Seurat,The Pont de Courbevoie,1886,https://www.wikiart.org/en/georges-seurat/the-pont-de-courbevoie-1886,the-pont-de-courbevoie-1886,https://uploads4.wikiart.org/images/georges-seurat/the-pont-de-courbevoie-1886.jpg!Large.jpg,750,589,Pointillism|Neo-Impressionism,crayon|paper,cityscape,boats-and-ships|rain-and-fog|France|Courbevoie|Text|Line|Sketch,France,Private Collection,,
georges-seurat/georges-seurat__the-port-of-honfleur-1886.jpg,georges-seurat,Georges Seurat,The Port of Honfleur,1886,https://www.wikiart.org/en/georges-seurat/the-port-of-honfleur-1886,the-port-of-honfleur-1886,https://uploads2.wikiart.org/images/georges-seurat/the-port-of-honfleur-1886.jpg!Large.jpg,750,562,Pointillism|Neo-Impressionism,crayon|paper,cityscape,boats-and-ships|France|Normandy|Honfleur|Line,France,Private Collection,,
georges-seurat/georges-seurat__the-seamstress-or-sunday-at-the-grande-jatte-study-for-a-sunday-afternoon-on-the-island-of-la-1886.jpg,georges-seurat,Georges Seurat,Study for 'A Sunday Afternoon on the Island of La Grande Jatte',1886,https://www.wikiart.org/en/georges-seurat/the-seamstress-or-sunday-at-the-grande-jatte-study-for-a-sunday-afternoon-on-the-island-of-la-1886,the-seamstress-or-sunday-at-the-grande-jatte-study-for-a-sunday-afternoon-on-the-island-of-la-1886,https://uploads3.wikiart.org/images/georges-seurat/the-seamstress-or-sunday-at-the-grande-jatte-study-for-a-sunday-afternoon-on-the-island-of-la-1886.jpg!Large.jpg,750,458,Post-Impressionism|Neo-Impressionism,oil|wood,genre painting,rivers-and-waterfalls|gardens-and-parks|France|Grande-Jatte|Tree|Water|Natural landscape|Reflection|Bank|Woody plant,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__women-by-the-water-1886.jpg,georges-seurat,Georges Seurat,Women by the Water,1886,https://www.wikiart.org/en/georges-seurat/women-by-the-water-1886,women-by-the-water-1886,https://uploads0.wikiart.org/images/georges-seurat/women-by-the-water-1886.jpg!Large.jpg,750,461,Pointillism|Neo-Impressionism,oil|wood,genre painting,gardens-and-parks|Textile,France,Private Collection,,
georges-seurat/georges-seurat__anaïs-faivre-haumonté-on-her-deathbed-1887.jpg,georges-seurat,Georges Seurat,Anaïs Faivre Haumonté on her deathbed,1887,https://www.wikiart.org/en/georges-seurat/anaïs-faivre-haumonté-on-her-deathbed-1887,anaïs-faivre-haumonté-on-her-deathbed-1887,https://uploads1.wikiart.org/images/georges-seurat/anaïs-faivre-haumonté-on-her-deathbed-1887.jpg!Large.jpg,750,500,Pointillism|Neo-Impressionism,crayon|gouache|paper,genre painting,domestic-settings|birth-and-death|Line,France,,,
georges-seurat/georges-seurat__model-to-front-1887.jpg,georges-seurat,Georges Seurat,Model to front,1887,https://www.wikiart.org/en/georges-seurat/model-to-front-1887,model-to-front-1887,https://uploads4.wikiart.org/images/georges-seurat/model-to-front-1887.jpg,327,512,Pointillism|Neo-Impressionism,oil|wood,nude painting (nu),female-nude,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__part-of-the-studio-1887.jpg,georges-seurat,Georges Seurat,Part of the studio,1887,https://www.wikiart.org/en/georges-seurat/part-of-the-studio-1887,part-of-the-studio-1887,https://uploads0.wikiart.org/images/georges-seurat/part-of-the-studio-1887.jpg!Large.jpg,750,500,Post-Impressionism|Neo-Impressionism,crayon|paper,genre painting,furniture-and-decoration|studios-and-workshops,France,,,
